step,time_s,x_m,y_m,distance_to_goal_m,clearance_to_inflated_occupancy_m,h,gradient_x,gradient_y,u_nom_x,u_nom_y,u_safe_x,u_safe_y,u_nom_norm,u_safe_norm,intervention_norm,cbf_residual,explicit_cbf_residual,solver_status,solve_time_s,was_filtered,integration_dt_s,integration_backtracks,collision
0,0.0,0.35,1.5,3.3,0.12711864406779644,0.017506695599481426,0.059015280133248416,0.15555759641627737,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.08202772686506848,0.08202772686506848,optimal,8.723000064492226e-06,False,0.02,0,False
1,0.02,0.36,1.5,3.29,0.12822366889044487,0.018170105452594083,0.06780622478321655,0.1513974446475835,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.08841342874939052,0.08841342874939052,optimal,6.1780010582879186e-06,False,0.02,0,False
2,0.04,0.37,1.5,3.28,0.1302076907311091,0.019084962504354652,0.07624150728443484,0.1425616288345597,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.09537564115528138,0.09537564115528138,optimal,4.9390000640414655e-06,False,0.02,0,False
3,0.06,0.38,1.5,3.27,0.1321917125717733,0.01999981955611522,0.0846767897856531,0.13372581302153594,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.1023378535611722,0.1023378535611722,optimal,4.707995685748756e-06,False,0.02,0,False
4,0.08,0.39,1.5,3.26,0.13417573441243758,0.02091467660787579,0.09311207228687138,0.12488999720851211,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.10930006596706306,0.10930006596706306,optimal,4.94599953526631e-06,False,0.02,0,False
5,0.1,0.4,1.5,3.25,0.13615975625310178,0.02182953365963635,0.10154735478808963,0.11605418139548836,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.11626227837295386,0.11626227837295386,optimal,4.782996256835759e-06,False,0.02,0,False
6,0.12,0.41000000000000003,1.5,3.2399999999999998,0.13971307335731087,0.02288590323553271,0.10929385002087387,0.10901756406386463,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.12330463471703507,0.12330463471703507,optimal,4.74600528832525e-06,False,0.02,0,False
7,0.14,0.42000000000000004,1.5,3.23,0.14487592406515581,0.024087413861824766,0.11633389677321307,0.10382627850803575,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.13042918997208083,0.13042918997208083,optimal,4.863999492954463e-06,False,0.02,0,False
8,0.16,0.43000000000000005,1.5,3.2199999999999998,0.15003877477300068,0.025288924488116808,0.1233739435255522,0.09863499295220692,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.13755374522712652,0.13755374522712652,optimal,4.672998329624534e-06,False,0.02,0,False
9,0.18,0.44000000000000006,1.5,3.21,0.15520162548084554,0.02649043511440885,0.13041399027789133,0.09344370739637808,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.14467830048217223,0.14467830048217223,optimal,4.676003300119191e-06,False,0.02,0,False
10,0.2,0.45000000000000007,1.5,3.1999999999999997,0.16036447618869043,0.027691945740700892,0.13745403703023046,0.0882524218405493,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.1518028557372179,0.1518028557372179,optimal,4.6959976316429675e-06,False,0.02,0,False
11,0.22,0.4600000000000001,1.5,3.19,0.16516313827844328,0.029076911136331936,0.14480032666016246,0.08117089309280275,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.15963089673907704,0.15963089673907704,optimal,5.104004230815917e-06,False,0.02,0,False
12,0.24,0.4700000000000001,1.5,3.1799999999999997,0.16947978602072133,0.03070468431491167,0.15255193774573206,0.07158757188516507,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.16839002181760104,0.16839002181760104,optimal,4.913999873679131e-06,False,0.02,0,False
13,0.26,0.4800000000000001,1.5,3.17,0.1737964337629994,0.03233245749349139,0.16030354883130163,0.06200425067752748,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.17714914689612496,0.17714914689612496,optimal,4.603003617376089e-06,False,0.02,0,False
14,0.28,0.4900000000000001,1.5,3.1599999999999997,0.17811308150527747,0.0339602306720711,0.1680551599168712,0.05242092946988988,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.1859082719746489,0.1859082719746489,optimal,4.524998075794429e-06,False,0.02,0,False
15,0.3,0.5000000000000001,1.5,3.15,0.18242972924755552,0.03558800385065082,0.17580677100244074,0.042837608262252296,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.19466739705317282,0.19466739705317282,optimal,4.627996531780809e-06,False,0.02,0,False
16,0.32,0.5100000000000001,1.5,3.1399999999999997,0.1866109527776028,0.03734745564877247,0.18281170137267594,0.03266775933134463,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.20344821763265536,0.20344821763265536,optimal,4.602996341418475e-06,False,0.02,0,False
17,0.34,0.5200000000000001,1.5,3.13,0.19055868628656245,0.039333939549552575,0.18852925119923114,0.021486655705144034,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.2122664442482733,0.2122664442482733,optimal,4.692999937105924e-06,False,0.02,0,False
18,0.36,0.5300000000000001,1.5,3.1199999999999997,0.19450641979552208,0.041320423450332676,0.1942468010257863,0.010305552078943429,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.22108467086389116,0.22108467086389116,optimal,4.483998054638505e-06,False,0.02,0,False
19,0.38,0.5400000000000001,1.5,3.11,0.19845415330448174,0.04330690735111277,0.1999643508523415,-0.0008755515472571689,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.22990289747950907,0.22990289747950907,optimal,4.763998731505126e-06,False,0.02,0,False
20,0.4,0.5500000000000002,1.5,3.0999999999999996,0.20240188681344135,0.04529339125189287,0.20568190067889663,-0.012056655173457772,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.23872112409512694,0.23872112409512694,optimal,4.661000275518745e-06,False,0.02,0,False
21,0.42,0.5600000000000002,1.5,3.09,0.2069150247292795,0.04734679616491569,0.2105653912463757,-0.02313416348651796,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.2473230841179349,0.2473230841179349,optimal,4.526002157945186e-06,False,0.02,0,False
22,0.44,0.5700000000000002,1.5,3.0799999999999996,0.2127238810775474,0.04955356173099466,0.2135374960118053,-0.03397426587363106,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.2554294331988866,0.2554294331988866,optimal,4.549998266156763e-06,False,0.02,0,False
23,0.46,0.5800000000000002,1.5,3.07,0.21853273742581522,0.05176032729707364,0.21650960077723486,-0.044814368260744156,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.2635357822798383,0.2635357822798383,optimal,4.695000825449824e-06,False,0.02,0,False
24,0.48,0.5900000000000002,1.5,3.0599999999999996,0.22434159377408305,0.05396709286315261,0.21948170554266447,-0.055654470647857265,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.2716421313607901,0.2716421313607901,optimal,4.601999535225332e-06,False,0.02,0,False
25,0.5,0.6000000000000002,1.5,3.05,0.23015045012235097,0.056173858429231616,0.22245381030809408,-0.06649457303497047,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.2797484804417419,0.2797484804417419,optimal,4.582005203701556e-06,False,0.02,0,False
26,0.52,0.6100000000000002,1.5,3.0399999999999996,0.23594186898705344,0.05840003068409952,0.224846083204847,-0.07714061083470343,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.28762313365472203,0.28762313365472203,optimal,6.061003659851849e-06,False,0.02,0,False
27,0.54,0.6200000000000002,1.5,3.03,0.2416782221141811,0.06068748721935349,0.22540730809525272,-0.08717381309534132,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.29476611570568684,0.29476611570568684,optimal,4.55100234830752e-06,False,0.02,0,False
28,0.56,0.6300000000000002,1.5,3.0199999999999996,0.24741457524130875,0.06297494375460748,0.22596853298565844,-0.09720701535597923,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.30190909775665165,0.30190909775665165,optimal,4.4199987314641476e-06,False,0.02,0,False
29,0.58,0.6400000000000002,1.5,3.01,0.25315092836843645,0.06526240028986145,0.22652975787606416,-0.10724021761661712,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.3090520798076164,0.3090520798076164,optimal,4.4190019252710044e-06,False,0.02,0,False
30,0.6,0.6500000000000002,1.5,2.9999999999999996,0.25888728149556417,0.06754985682511547,0.22709098276646986,-0.11727341987725509,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.3161950618585813,0.3161950618585813,optimal,4.4380067265592515e-06,False,0.02,0,False
31,0.62,0.6600000000000003,1.5,2.9899999999999998,0.2647360615569086,0.06983308534816274,0.227357483423409,-0.12714583946498584,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.3231779977561927,0.3231779977561927,optimal,4.639994585886598e-06,False,0.02,0,False
32,0.64,0.6700000000000003,1.5,2.9799999999999995,0.2711068238128307,0.07209668381453595,0.2262556215678252,-0.13627176807136218,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.32941786222752045,0.32941786222752045,optimal,4.608002200257033e-06,False,0.02,0,False
33,0.66,0.6800000000000003,1.5,2.9699999999999998,0.2774775860687527,0.07436028228090917,0.22515375971224133,-0.1453976966777385,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.3356577266988482,0.3356577266988482,optimal,4.6499990276061e-06,False,0.02,0,False
34,0.68,0.6900000000000003,1.5,2.9599999999999995,0.2838483483246749,0.07662388074728242,0.22405189785665747,-0.15452362528411492,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.341897591170176,0.341897591170176,optimal,4.694004019256681e-06,False,0.02,0,False
35,0.7000000000000001,0.7000000000000003,1.5,2.9499999999999997,0.290219110580597,0.07888747921365566,0.22295003600107363,-0.16364955389049124,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.3481374556415038,0.3481374556415038,optimal,4.5150009100325406e-06,False,0.02,0,False
36,0.72,0.7100000000000003,1.5,2.9399999999999995,0.29646372371512836,0.08114108393437468,0.2217412074791149,-0.1726717240305822,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.35429385554268145,0.35429385554268145,optimal,4.5289998524822295e-06,False,0.02,0,False
37,0.74,0.7200000000000003,1.5,2.9299999999999997,0.30172717701662116,0.08331695952222777,0.21970041599646295,-0.18088688387734267,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.3598010865649148,0.3598010865649148,optimal,4.554000042844564e-06,False,0.02,0,False
38,0.76,0.7300000000000003,1.5,2.9199999999999995,0.30699063031811386,0.08549283511008086,0.21765962451381096,-0.1891020437241031,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.36530831758714805,0.36530831758714805,optimal,4.460998752620071e-06,False,0.02,0,False
39,0.78,0.7400000000000003,1.5,2.9099999999999997,0.3122540836196067,0.08766871069793394,0.21561883303115897,-0.19731720357086366,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.3708155486093814,0.3708155486093814,optimal,4.590001481119543e-06,False,0.02,0,False
40,0.8,0.7500000000000003,1.5,2.8999999999999995,0.31751753692109946,0.08984458628578704,0.213578041548507,-0.20553236341762415,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.3763227796316146,0.3763227796316146,optimal,4.549998266156763e-06,False,0.02,0,False
41,0.8200000000000001,0.7600000000000003,1.5,2.8899999999999997,0.3225944261411427,0.09201443961793872,0.21151719101359906,-0.21370404493990894,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.3818019143606157,0.3818019143606157,optimal,4.594003257807344e-06,False,0.02,0,False
42,0.84,0.7700000000000004,1.5,2.8799999999999994,0.32417323883400934,0.09407137565568895,0.20908023324889172,-0.2210605078782753,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.38675424359151267,0.38675424359151267,optimal,4.658002580981702e-06,False,0.02,0,False
43,0.86,0.7800000000000004,1.5,2.8699999999999997,0.32575205152687586,0.0961283116934392,0.20664327548418437,-0.2284169708166417,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.3917065728224098,0.3917065728224098,optimal,4.499997885432094e-06,False,0.02,0,False
44,0.88,0.7900000000000004,1.5,2.8599999999999994,0.3273308642197425,0.09818524773118946,0.204206317719477,-0.23577343375500814,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.3966589020533069,0.3966589020533069,optimal,4.8539950512349606e-06,False,0.02,0,False
45,0.9,0.8000000000000004,1.5,2.8499999999999996,0.3289096769126091,0.10024218376893969,0.2017693599547697,-0.24312989669337454,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.40161123128420395,0.40161123128420395,optimal,4.67000063508749e-06,False,0.02,0,False
46,0.92,0.8100000000000004,1.5,2.8399999999999994,0.33048848960547567,0.10229911980668993,0.19933240219006232,-0.25048635963174093,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.40656356051510095,0.40656356051510095,optimal,4.641005943994969e-06,False,0.02,0,False
47,0.9400000000000001,0.8200000000000004,1.5,2.8299999999999996,0.3305084745762714,0.10422983310169964,0.19685848942009584,-0.2570815584659815,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.4111187440151468,0.4111187440151468,optimal,4.788002115674317e-06,False,0.02,0,False
48,0.96,0.8300000000000004,1.5,2.8199999999999994,0.3305084745762714,0.10615892815641782,0.1943841028680106,-0.26366699750401545,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.41566883590325876,0.41566883590325876,optimal,4.631001502275467e-06,False,0.02,0,False
49,0.98,0.8400000000000004,1.5,2.8099999999999996,0.3305084745762714,0.10808802321113598,0.19190971631592546,-0.27025243654204933,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.42021892779137066,0.42021892779137066,optimal,4.698995326180011e-06,False,0.02,0,False
50,1.0,0.8500000000000004,1.5,2.7999999999999994,0.3305084745762714,0.11001711826585417,0.18943532976384025,-0.27683787558008327,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.42476901967948266,0.42476901967948266,optimal,4.642999556381255e-06,False,0.02,0,False
51,1.02,0.8600000000000004,1.5,2.7899999999999996,0.3305084745762714,0.11194621332057234,0.18696094321175505,-0.2834233146181172,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.42931911156759456,0.42931911156759456,optimal,4.754998371936381e-06,False,0.02,0,False
52,1.04,0.8700000000000004,1.5,2.7799999999999994,0.3305084745762714,0.11376189981940653,0.184656802637776,-0.28939131403695545,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.43361410077710755,0.43361410077710755,optimal,5.848996806889772e-06,False,0.02,0,False
53,1.06,0.8800000000000004,1.5,2.7699999999999996,0.3305084745762714,0.11556826506707221,0.1823666548839153,-0.29530856499394215,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.43788812264317434,0.43788812264317434,optimal,4.5100023271515965e-06,False,0.02,0,False
54,1.08,0.8900000000000005,1.5,2.7599999999999993,0.3305084745762714,0.11737463031473785,0.18007650713005457,-0.30122581595092873,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.44216214450924085,0.44216214450924085,optimal,4.538000212050974e-06,False,0.02,0,False
55,1.1,0.9000000000000005,1.5,2.7499999999999996,0.3305084745762714,0.11918099556240355,0.17778635937619383,-0.30714306690791543,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.44643616637530753,0.44643616637530753,optimal,4.626999725587666e-06,False,0.02,0,False
56,1.12,0.9100000000000005,1.5,2.7399999999999993,0.3305084745762714,0.12098736081006921,0.1754962116223331,-0.31306031786490207,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.45071018824137415,0.45071018824137415,optimal,4.544999683275819e-06,False,0.02,0,False
57,1.1400000000000001,0.9200000000000005,1.5,2.7299999999999995,0.33050847457627136,0.12269974498825653,0.17347946583932225,-0.318490374235274,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.4548389678844307,0.4548389678844307,optimal,4.642999556381255e-06,False,0.02,0,False
58,1.16,0.9300000000000005,1.5,2.7199999999999993,0.3305084745762714,0.12439692634638123,0.17150694684571352,-0.32384161971663494,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.45894425246200043,0.45894425246200043,optimal,4.4909975258633494e-06,False,0.02,0,False
59,1.18,0.9400000000000005,1.5,2.7099999999999995,0.3305084745762714,0.12609410770450594,0.16953442785210482,-0.3291928651979958,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.46304953703957025,0.46304953703957025,optimal,4.4769985834136605e-06,False,0.02,0,False
60,1.2,0.9500000000000005,1.5,2.6999999999999993,0.3305084745762714,0.1277912890626306,0.16756190885849614,-0.3345441106793565,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.46715482161713984,0.46715482161713984,optimal,4.501001967582852e-06,False,0.02,0,False
61,1.22,0.9600000000000005,1.5,2.6899999999999995,0.3305084745762714,0.1294884704207553,0.16558938986488742,-0.3398953561607174,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.4712601061947096,0.4712601061947096,optimal,4.5100023271515965e-06,False,0.02,0,False
62,1.24,0.9700000000000005,1.5,2.6799999999999993,0.3305084745762714,0.1311134291615857,0.16393577127839964,-0.34486833962393315,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.4753081731239569,0.4753081731239569,optimal,4.610999894794077e-06,False,0.02,0,False
63,1.26,0.9800000000000005,1.5,2.6699999999999995,0.3305084745762714,0.13272004565040493,0.16236314327149812,-0.3497452565428582,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.47934170858696384,0.47934170858696384,optimal,4.57599526271224e-06,False,0.02,0,False
64,1.28,0.9900000000000005,1.5,2.6599999999999993,0.3305084745762714,0.13432666213922415,0.16079051526459653,-0.3546221734617832,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.4833752440499707,0.4833752440499707,optimal,4.704997991211712e-06,False,0.02,0,False
65,1.3,1.0000000000000004,1.5,2.6499999999999995,0.3305084745762714,0.13593327862804336,0.15921788725769506,-0.35949909038070815,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.48740877951297756,0.48740877951297756,optimal,4.579000233206898e-06,False,0.02,0,False
66,1.32,1.0100000000000005,1.5,2.6399999999999997,0.3305084745762714,0.13753989511686254,0.15764525925079353,-0.36437600729963315,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.4914423149759844,0.4914423149759844,optimal,4.674002411775291e-06,False,0.02,0,False
67,1.34,1.0200000000000005,1.5,2.6299999999999994,0.3305084745762714,0.1390960820008036,0.15640765317396357,-0.36895995166321954,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.49549207258939254,0.49549207258939254,optimal,4.631001502275467e-06,False,0.02,0,False
68,1.36,1.0300000000000005,1.5,2.619999999999999,0.3305084745762714,0.14063400988987496,0.15529134814078024,-0.3734378197567695,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.499547703740015,0.499547703740015,optimal,4.572997568175197e-06,False,0.02,0,False
69,1.3800000000000001,1.0400000000000005,1.5,2.6099999999999994,0.3305084745762714,0.14217193777894632,0.15417504310759686,-0.3779156878503195,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5036033348906374,0.5036033348906374,optimal,4.640998668037355e-06,False,0.02,0,False
70,1.4000000000000001,1.0500000000000005,1.5,2.5999999999999996,0.3305084745762714,0.1437098656680177,0.15305873807441348,-0.3823935559438695,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.5076589660412598,0.5076589660412598,optimal,4.702000296674669e-06,False,0.02,0,False
71,1.42,1.0600000000000005,1.5,2.5899999999999994,0.3305084745762714,0.14524779355708903,0.15194243304123015,-0.38687142403741936,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5117145971918822,0.5117145971918822,optimal,4.5769993448629975e-06,False,0.02,0,False
72,1.44,1.0700000000000005,1.5,2.579999999999999,0.3305084745762714,0.1467559643292039,0.1511637966208099,-0.39111796874345095,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5158497912980167,0.5158497912980167,optimal,4.669993359129876e-06,False,0.02,0,False
73,1.46,1.0800000000000005,1.5,2.5699999999999994,0.3305084745762714,0.14824953727035897,0.15055080895382056,-0.395251034051832,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5200240162879872,0.5200240162879872,optimal,4.57100395578891e-06,False,0.02,0,False
74,1.48,1.0900000000000005,1.5,2.5599999999999996,0.3305084745762714,0.14974311021151404,0.14993782128683125,-0.39938409936021313,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5241982412779578,0.5241982412779578,optimal,4.509005520958453e-06,False,0.02,0,False
75,1.5,1.1000000000000005,1.5,2.5499999999999994,0.3305084745762714,0.15123668315266914,0.14932483361984192,-0.4035171646685941,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5283724662679283,0.5283724662679283,optimal,4.720001015812159e-06,False,0.02,0,False
76,1.52,1.1100000000000005,1.5,2.539999999999999,0.3305084745762714,0.15273025609382418,0.1487118459528526,-0.4076502299769751,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5325466912578989,0.5325466912578989,optimal,4.650006303563714e-06,False,0.02,0,False
77,1.54,1.1200000000000006,1.5,2.5299999999999994,0.33050847457627136,0.15421306260305725,0.1484334917121317,-0.41159044664721356,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.5368559336652377,0.5368559336652377,optimal,4.9009977374225855e-06,False,0.02,0,False
78,1.56,1.1300000000000006,1.5,2.5199999999999996,0.33050847457627136,0.155688915791674,0.14837125489254233,-0.41540611523865156,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5412523748212932,0.5412523748212932,optimal,4.604000423569232e-06,False,0.02,0,False
79,1.58,1.1400000000000006,1.5,2.5099999999999993,0.3305084745762714,0.15716476898029075,0.14830901807295302,-0.4192217838300896,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.5456488159773487,0.5456488159773487,optimal,4.703004378825426e-06,False,0.02,0,False
80,1.6,1.1500000000000006,1.5,2.499999999999999,0.3305084745762714,0.1586406221689075,0.14824678125336369,-0.4230374524215276,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5500452571334044,0.5500452571334044,optimal,4.743000317830592e-06,False,0.02,0,False
81,1.62,1.1600000000000006,1.5,2.4899999999999993,0.3305084745762714,0.1601164753575242,0.14818454443377435,-0.4268531210129656,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5544416982894598,0.5544416982894598,optimal,4.5890046749264e-06,False,0.02,0,False
82,1.6400000000000001,1.1700000000000006,1.5,2.4799999999999995,0.33050847457627136,0.16159854302033327,0.14845028262477578,-0.43049143509710647,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5590207703733877,0.5590207703733877,optimal,6.1399987316690385e-06,False,0.02,0,False
83,1.6600000000000001,1.1800000000000006,1.5,2.4699999999999993,0.33050847457627136,0.16308581349874512,0.14899060454557403,-0.43398126633792894,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5637527427690224,0.5637527427690224,optimal,6.056994607206434e-06,False,0.02,0,False
84,1.68,1.1900000000000006,1.5,2.459999999999999,0.3305084745762714,0.16457308397715698,0.14953092646637228,-0.43747109757875136,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.568484715164657,0.568484715164657,optimal,4.521003575064242e-06,False,0.02,0,False
85,1.7,1.2000000000000006,1.5,2.4499999999999993,0.3305084745762714,0.16606035445556883,0.15007124838717056,-0.44096092881957377,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5732166875602918,0.5732166875602918,optimal,4.6240020310506225e-06,False,0.02,0,False
86,1.72,1.2100000000000006,1.5,2.4399999999999995,0.3305084745762714,0.16754762493398068,0.15061157030796885,-0.4444507600603962,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5779486599559265,0.5779486599559265,optimal,4.707995685748756e-06,False,0.02,0,False
87,1.74,1.2200000000000006,1.5,2.4299999999999993,0.33050847457627136,0.1690557227092933,0.1514668514921193,-0.44775599965518276,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5829005938739397,0.5829005938739397,optimal,4.62999742012471e-06,False,0.02,0,False
88,1.76,1.2300000000000006,1.5,2.419999999999999,0.3305084745762714,0.17058629204178838,0.15266195714462338,-0.4508620745792464,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5880898546976767,0.5880898546976767,optimal,4.659996193367988e-06,False,0.02,0,False
89,1.78,1.2400000000000007,1.5,2.4099999999999993,0.3305084745762714,0.17211686137428342,0.1538570627971274,-0.45396814950331,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.593279115521414,0.593279115521414,optimal,4.592002369463444e-06,False,0.02,0,False
90,1.8,1.2500000000000007,1.5,2.3999999999999995,0.3305084745762714,0.17364743070677846,0.1550521684496315,-0.45707422442737367,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5984683763451512,0.5984683763451512,optimal,4.440997145138681e-06,False,0.02,0,False
91,1.82,1.2600000000000007,1.5,2.3899999999999992,0.3305084745762714,0.17517800003927353,0.1562472741021355,-0.4601802993514373,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.6036576371688883,0.6036576371688883,optimal,4.681001883000135e-06,False,0.02,0,False
92,1.84,1.2700000000000007,1.5,2.379999999999999,0.3305084745762714,0.17674103656927959,0.15773080284094462,-0.46307377931776256,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.609088511128311,0.609088511128311,optimal,4.549998266156763e-06,False,0.02,0,False
