version_id,submitted_time_s,completed_time_s,solve_wall_time_s,pipeline_from_submit_s,forcing_method,solver,solve_cells,boundary_cells,poisson_residual_max_abs,accepted,numerically_valid,obsolete,status
1,5208.434615379,5208.856701113,0.3154731320000792,0.42208573399966554,constant,conjugate_gradient,2181,287,3.410974969142444e-07,True,True,False,unknown
2,5208.863898454,5208.917837523,0.029926831999546266,0.05393906900008005,constant,conjugate_gradient,2209,283,3.652093099049125e-07,True,True,False,unknown
3,5208.936658007,5208.989166006,0.030982119999862334,0.052507999000226846,constant,conjugate_gradient,2186,286,3.11462859503564e-07,True,True,False,unknown
4,5208.996054331,5209.048595242,0.02975640300064697,0.05254091100050573,constant,conjugate_gradient,2188,286,3.4745934129887246e-07,True,True,False,unknown
5,5209.055633929,5209.109271332,0.030527488000188896,0.05363740300072095,constant,conjugate_gradient,2218,282,3.343498136132439e-07,True,True,False,unknown
6,5209.115797619,5209.174543645,0.029882723999435257,0.058746026000335405,constant,conjugate_gradient,2196,283,3.7499303573440557e-07,True,True,False,unknown
7,5209.18179057,5209.235774381,0.02943101700020634,0.05398381099985272,constant,conjugate_gradient,2216,280,3.4986693364658095e-07,True,True,False,unknown
8,5209.241996304,5209.295144378,0.03046387699941988,0.05314807400009158,constant,conjugate_gradient,2192,285,3.496695324400889e-07,True,True,False,unknown
9,5209.301850307,5209.353387014,0.029232517999844276,0.05153670700019575,constant,conjugate_gradient,2211,283,3.377469610654771e-07,True,True,False,unknown
10,5209.360833476,5209.411027855,0.027704126000571705,0.05019437899954937,constant,conjugate_gradient,2190,284,3.6753162646618875e-07,True,True,False,unknown
11,5209.4175029,5209.472146833,0.02734965000036027,0.054643933000079414,constant,conjugate_gradient,2198,284,3.6144331083676207e-07,True,True,False,unknown
12,5209.479826922,5209.533646345,0.030020942999726685,0.05381942300027731,constant,conjugate_gradient,2209,282,3.1793983179539964e-07,True,True,False,unknown
13,5209.542438428,5209.597758536,0.0320476429997143,0.05532010799925047,constant,conjugate_gradient,2202,284,3.0059698286066805e-07,True,True,False,unknown
14,5209.604668549,5209.653238921,0.027190615000108664,0.04857037199963088,constant,conjugate_gradient,2199,285,3.967130766113769e-07,True,True,False,unknown
15,5209.660476042,5209.713349717,0.0311030179991576,0.052873675000228104,constant,conjugate_gradient,2203,283,3.708603415475409e-07,True,True,False,unknown
16,5209.719857682,5209.781451958,0.03731099000015092,0.06159427599959599,constant,conjugate_gradient,2203,283,3.170061120272294e-07,True,True,False,unknown
17,5209.788221944,5209.84012986,0.028077479000785388,0.05190791600034572,constant,conjugate_gradient,2201,283,3.194207920387271e-07,True,True,False,unknown
18,5209.846152868,5209.900520448,0.03184403500017652,0.05436757999996189,constant,conjugate_gradient,2198,285,3.754162349878243e-07,True,True,False,unknown
19,5209.906213067,5209.959368548,0.027331473999765876,0.05315548100043088,constant,conjugate_gradient,2187,286,3.5091162686740063e-07,True,True,False,unknown
20,5209.965823873,5210.064553782,0.07689892000053078,0.0987299090002125,constant,conjugate_gradient,2202,282,4.061647587150219e-07,True,True,False,unknown
21,5210.070945897,5210.12044725,0.027350892999493226,0.04950135300077818,constant,conjugate_gradient,2199,283,3.9091511894184805e-07,True,True,False,unknown
22,5210.127304387,5210.182371182,0.03062875100022211,0.05506679500012979,constant,conjugate_gradient,2187,285,3.431961630440128e-07,True,True,False,unknown
23,5210.189023675,5210.24283832,0.030663407999782066,0.05381464500078437,constant,conjugate_gradient,2195,285,2.927197257918124e-07,True,True,False,unknown
24,5210.249803971,5210.301618902,0.02958630200009793,0.05181493100008083,constant,conjugate_gradient,2197,285,2.994976426862195e-07,True,True,False,unknown
25,5210.307977306,5210.361616,0.02958712200052105,0.05363869400025578,constant,conjugate_gradient,2195,285,3.1792053079016114e-07,True,True,False,unknown
26,5210.36794534,5210.416641172,0.026781272000334866,0.04869583199979388,constant,conjugate_gradient,2215,280,3.4745483645792774e-07,True,True,False,unknown
27,5210.42266741,5210.475473332,0.029078904999551014,0.05280592199960665,constant,conjugate_gradient,2195,283,4.4171817847882267e-07,True,True,False,unknown
28,5210.482806032,5210.536041827,0.030763433999709378,0.053235795000546204,constant,conjugate_gradient,2204,280,3.376660444587287e-07,True,True,False,unknown
29,5210.543049988,5210.603652225,0.03557559399996535,0.06060223699932976,constant,conjugate_gradient,2193,279,4.6679532061943974e-07,True,True,False,unknown
30,5210.609583334,5210.664656954,0.02869475099942065,0.055073620000257506,constant,conjugate_gradient,2219,275,4.2976469671884843e-07,True,True,False,unknown
31,5210.671163988,5210.722010982,0.028895258999909856,0.05084699399958481,constant,conjugate_gradient,2212,274,3.6815598036810115e-07,True,True,False,unknown
32,5211.072602976,5211.157616379,0.03155449400037469,0.08501340299972071,constant,conjugate_gradient,2220,268,2.9330446693620615e-07,True,True,False,unknown
33,5211.164531288,5211.215071766,0.0279447490001985,0.050540477999675204,constant,conjugate_gradient,2211,266,3.7967810584405015e-07,True,True,False,unknown
34,5211.221003025,5211.27548268,0.029158270999687375,0.054479655000250204,constant,conjugate_gradient,2218,265,3.440133724552652e-07,True,True,False,unknown
35,5211.282595313,5211.333821602,0.028508219000286772,0.05122628900062409,constant,conjugate_gradient,2236,261,3.37206145673008e-07,True,True,False,unknown
36,5211.340578473,5211.393649931,0.03010087900020153,0.0530714579999767,constant,conjugate_gradient,2227,256,3.911873349693451e-07,True,True,False,unknown
37,5211.399315039,5211.451466964,0.028581349999512895,0.052151925000544,constant,conjugate_gradient,2233,253,3.60980429547908e-07,True,True,False,unknown
38,5211.457167956,5211.510076434,0.03035662499951286,0.05290847800006304,constant,conjugate_gradient,2230,255,2.990039718042681e-07,True,True,False,unknown
39,5211.515717911,5211.571929891,0.03226275799988798,0.05621197999971628,constant,conjugate_gradient,2239,252,3.504617538396815e-07,True,True,False,unknown
40,5211.578822172,5211.635794619,0.031789878999916255,0.05697244699967996,constant,conjugate_gradient,2257,250,3.858861106209588e-07,True,True,False,unknown
41,5211.64156089,5211.696665418,0.031614784999874246,0.05510452799990162,constant,conjugate_gradient,2252,248,4.2200952066195896e-07,True,True,False,unknown
42,5211.70233307,5211.759701952,0.029591845000140893,0.057368881999536825,constant,conjugate_gradient,2258,248,3.7792690932292317e-07,True,True,False,unknown
43,5211.76650999,5211.824946964,0.03540990500005137,0.05843697400086967,constant,conjugate_gradient,2252,248,3.520977998050512e-07,True,True,False,unknown
44,5211.83119079,5211.894223222,0.03645049500028108,0.06303243199999997,constant,conjugate_gradient,2259,247,3.7869939717438683e-07,True,True,False,unknown
45,5211.89991476,5211.953431491,0.028445545000067796,0.05351673099994514,constant,conjugate_gradient,2272,244,3.2739295363626297e-07,True,True,False,unknown
46,5211.959745578,5212.017310946,0.03185640000083367,0.05756536799981404,constant,conjugate_gradient,2281,244,3.720319199373989e-07,True,True,False,unknown
47,5212.022915132,5212.076016134,0.03064464399994904,0.05310100200040324,constant,conjugate_gradient,2272,243,4.4237788188183913e-07,True,True,False,unknown
48,5212.082576899,5212.136612316,0.03123421899999812,0.054035416999795416,constant,conjugate_gradient,2268,246,4.1335007949783176e-07,True,True,False,unknown
49,5212.142436284,5212.199488857,0.02976904699971783,0.05705257299996447,constant,conjugate_gradient,2280,246,3.705082463056897e-07,True,True,False,unknown
50,5212.205519857,5212.26118525,0.0312108950001857,0.05566539300070872,constant,conjugate_gradient,2281,242,3.78103607090452e-07,True,True,False,unknown
51,5212.267604426,5212.321800712,0.029444922999573464,0.05419628600066062,constant,conjugate_gradient,2281,242,4.14065056020263e-07,True,True,False,unknown
52,5212.326905534,5212.392361303,0.032230433999757224,0.0654557690004367,constant,conjugate_gradient,2282,242,3.784196707101728e-07,True,True,False,unknown
53,5212.398475449,5212.466334857,0.0424301020002531,0.0678594080000039,constant,conjugate_gradient,2284,242,4.471718995091578e-07,True,True,False,unknown
54,5212.469428873,5212.530252949,0.036810262000471994,0.06082407600024453,constant,conjugate_gradient,2275,243,4.702891658325825e-07,True,True,False,unknown
55,5212.536350795,5212.59324254,0.033723627999279415,0.056891745000029914,constant,conjugate_gradient,2281,242,3.800281831445318e-07,True,True,False,unknown
56,5212.599740445,5212.657770103,0.030593623000640946,0.05802965800012316,constant,conjugate_gradient,2276,241,3.4157264394707454e-07,True,True,False,unknown
57,5212.664218769,5212.720518169,0.032536104999962845,0.05629939999926137,constant,conjugate_gradient,2270,243,3.669242119030969e-07,True,True,False,unknown
58,5212.727092961,5212.780769902,0.03086566199999652,0.05367694100004883,constant,conjugate_gradient,2269,249,3.631656966263108e-07,True,True,False,unknown
59,5212.787354853,5212.841758983,0.03161464500044531,0.054404129999966244,constant,conjugate_gradient,2244,251,4.234237778177885e-07,True,True,False,unknown
